risk_profile,investment_horizon,investment_amount,recommended_stock_category,recommended_mf_category
Conservative,Medium-term,51607,Index,Hybrid
Moderate,Short-term,434504,Value,Index
Conservative,Medium-term,384261,Dividend,Hybrid
Conservative,Short-term,355009,Dividend,Debt
Conservative,Long-term,530880,Dividend,Debt
Aggressive,Medium-term,548738,Growth,ELSS
Aggressive,Medium-term,802050,Small-Cap,ELSS
Aggressive,Medium-term,788239,Growth,ELSS
Moderate,Long-term,699623,Index,ELSS
Aggressive,Long-term,77583,Small-Cap,ELSS
Moderate,Medium-term,347044,Index,Hybrid
Aggressive,Short-term,795648,Small-Cap,Equity
Aggressive,Long-term,825226,Small-Cap,ELSS
Conservative,Medium-term,809523,Dividend,Debt
Conservative,Medium-term,995926,Index,Debt
Conservative,Long-term,490324,Index,Debt
Moderate,Short-term,811593,Index,Index
Moderate,Medium-term,931662,Index,Index
Aggressive,Short-term,920044,Growth,Equity
Moderate,Short-term,37663,Index,Index
Aggressive,Long-term,750741,Growth,ELSS
Moderate,Medium-term,409949,Growth,Hybrid
Moderate,Medium-term,372105,Growth,Equity
Moderate,Short-term,768707,Index,Index
Conservative,Long-term,173073,Index,Hybrid
Moderate,Long-term,966632,Growth,Index
Conservative,Long-term,977134,Index,Debt
Conservative,Short-term,150401,Dividend,Debt
Moderate,Short-term,849537,Index,Index
Aggressive,Medium-term,859868,Growth,Equity
Aggressive,Long-term,400523,Small-Cap,Equity
Aggressive,Short-term,140705,Small-Cap,ELSS
Moderate,Long-term,264928,Growth,Equity
Aggressive,Short-term,755708,Growth,ELSS
Conservative,Medium-term,626923,Dividend,Debt
Aggressive,Long-term,603867,Small-Cap,ELSS
Moderate,Short-term,286386,Index,Index
Aggressive,Long-term,108901,Small-Cap,ELSS
Conservative,Short-term,757174,Dividend,Debt
Moderate,Short-term,659344,Value,Hybrid
Aggressive,Short-term,430349,Growth,Equity
Moderate,Long-term,165812,Index,Equity
Moderate,Short-term,372772,Index,Hybrid
Moderate,Medium-term,40976,Index,Equity
Aggressive,Long-term,181139,Small-Cap,Equity
Moderate,Medium-term,21231,Index,Hybrid
Aggressive,Medium-term,993609,Small-Cap,ELSS
Conservative,Long-term,144400,Index,Hybrid
Aggressive,Short-term,255900,Growth,ELSS
Conservative,Medium-term,35261,Index,Debt
Aggressive,Long-term,297406,Growth,ELSS
Moderate,Short-term,406496,Index,Hybrid
Aggressive,Long-term,172814,Small-Cap,Equity
Moderate,Long-term,13590,Index,Index
Conservative,Long-term,388870,Index,Debt
Aggressive,Short-term,191298,Small-Cap,ELSS
Moderate,Medium-term,621830,Blend,Index
Conservative,Medium-term,23570,Dividend,Debt
Conservative,Long-term,241601,Index,Index
Aggressive,Long-term,760489,Growth,ELSS
Conservative,Short-term,516398,Dividend,Debt
Moderate,Long-term,805965,Index,Equity
Conservative,Long-term,398034,Index,Debt
Conservative,Long-term,416582,Index,Hybrid
Moderate,Medium-term,910251,Index,Hybrid
Conservative,Long-term,265019,Dividend,Hybrid
Conservative,Medium-term,872800,Dividend,Hybrid
Conservative,Short-term,955829,Dividend,Debt
Conservative,Short-term,569086,Index,Debt
Moderate,Medium-term,704813,Blend,Hybrid
Conservative,Medium-term,819281,Value,Debt
Moderate,Medium-term,721303,Blend,Hybrid
Conservative,Medium-term,933661,Dividend,Debt
Conservative,Long-term,384116,Dividend,Debt
Conservative,Medium-term,957682,Value,Debt
Conservative,Medium-term,747897,Index,Debt
Moderate,Medium-term,825462,Index,Hybrid
Moderate,Long-term,261197,Growth,Index
Moderate,Long-term,136026,Growth,Index
Aggressive,Long-term,192206,Small-Cap,Equity
Conservative,Short-term,654686,Dividend,Debt
Conservative,Long-term,337873,Dividend,Hybrid
Moderate,Medium-term,18164,Growth,Index
Aggressive,Long-term,751738,Small-Cap,ELSS
Conservative,Long-term,535407,Dividend,Debt
Moderate,Medium-term,547639,Index,Hybrid
Conservative,Long-term,721423,Dividend,Index
Conservative,Short-term,606364,Dividend,Debt
Moderate,Long-term,841594,Index,ELSS
Moderate,Short-term,303904,Value,Hybrid
Conservative,Short-term,977182,Dividend,Debt
Conservative,Short-term,757424,Index,Debt
Moderate,Medium-term,99074,Blend,Index
Conservative,Long-term,915999,Dividend,Index
Conservative,Short-term,500994,Dividend,Debt
Moderate,Short-term,450844,Index,Index
Conservative,Long-term,769509,Index,Hybrid
Conservative,Medium-term,796070,Index,Hybrid
Aggressive,Medium-term,181811,Growth,Equity
Moderate,Short-term,39738,Value,Index
Aggressive,Medium-term,534209,Small-Cap,Equity
Aggressive,Long-term,258433,Small-Cap,Equity
Aggressive,Medium-term,319065,Growth,ELSS
Conservative,Long-term,394592,Index,Debt
Conservative,Short-term,790637,Index,Debt
Aggressive,Long-term,595356,Small-Cap,ELSS
Aggressive,Short-term,295725,Small-Cap,Equity
Aggressive,Long-term,105672,Growth,ELSS
Conservative,Long-term,31485,Dividend,Hybrid
Aggressive,Medium-term,233773,Small-Cap,Equity
Aggressive,Long-term,570582,Growth,ELSS
Moderate,Short-term,849433,Index,Hybrid
Moderate,Long-term,666994,Growth,Index
Conservative,Short-term,578257,Index,Debt
Moderate,Short-term,534381,Value,Hybrid
Moderate,Long-term,38370,Index,Index
Moderate,Medium-term,554038,Index,Hybrid
Conservative,Long-term,771380,Index,Index
Moderate,Long-term,253707,Growth,Equity
Conservative,Medium-term,258706,Value,Hybrid
Aggressive,Short-term,812904,Growth,Equity
Moderate,Long-term,777905,Growth,ELSS
Conservative,Medium-term,28934,Value,Debt
Moderate,Medium-term,971278,Growth,Index
Aggressive,Short-term,753417,Growth,Equity
Conservative,Medium-term,311269,Dividend,Hybrid
Conservative,Short-term,994485,Dividend,Debt
Conservative,Long-term,489757,Index,Debt
Aggressive,Medium-term,835535,Growth,Equity
Aggressive,Long-term,486966,Small-Cap,ELSS
Aggressive,Medium-term,201157,Small-Cap,ELSS
Conservative,Medium-term,885137,Value,Debt
Aggressive,Long-term,328687,Small-Cap,ELSS
Moderate,Medium-term,682298,Blend,Hybrid
Aggressive,Long-term,349636,Small-Cap,Equity
Conservative,Long-term,454802,Index,Debt
Moderate,Short-term,330168,Index,Index
Aggressive,Long-term,705047,Small-Cap,Equity
Moderate,Short-term,998633,Value,Hybrid
Moderate,Long-term,298351,Index,ELSS
Conservative,Medium-term,583642,Value,Debt
Moderate,Long-term,770817,Growth,Index
Moderate,Medium-term,702670,Index,Equity
Conservative,Short-term,583248,Index,Debt
Conservative,Medium-term,857694,Value,Debt
Conservative,Long-term,631443,Dividend,Index
Moderate,Medium-term,267091,Index,Equity
Moderate,Short-term,678763,Value,Hybrid
Moderate,Medium-term,678425,Blend,Equity
Conservative,Medium-term,231002,Dividend,Debt
Aggressive,Long-term,167873,Small-Cap,Equity
Moderate,Long-term,118182,Index,Equity
Aggressive,Medium-term,633420,Growth,Equity
Conservative,Short-term,956734,Index,Debt
Moderate,Medium-term,869138,Blend,Hybrid
Aggressive,Short-term,487158,Small-Cap,ELSS
Moderate,Short-term,493430,Index,Hybrid
Moderate,Short-term,302112,Value,Index
Moderate,Medium-term,576805,Growth,Hybrid
Aggressive,Short-term,522115,Growth,Equity
Conservative,Medium-term,260714,Value,Hybrid
Moderate,Short-term,718599,Value,Hybrid
Conservative,Short-term,960159,Dividend,Debt
Conservative,Medium-term,264055,Value,Debt
Aggressive,Long-term,663570,Small-Cap,ELSS
Aggressive,Long-term,728131,Small-Cap,Equity
Conservative,Medium-term,580272,Value,Debt
Moderate,Medium-term,676409,Blend,Equity
Aggressive,Long-term,868753,Small-Cap,ELSS
Moderate,Long-term,772662,Growth,Equity
Moderate,Long-term,656142,Growth,Equity
Moderate,Medium-term,992317,Growth,Equity
Conservative,Short-term,407871,Index,Debt
Moderate,Medium-term,487210,Index,Equity
Conservative,Long-term,794891,Index,Hybrid
Conservative,Short-term,100638,Dividend,Debt
Moderate,Medium-term,737814,Index,Equity
Moderate,Long-term,865404,Growth,Index
Moderate,Medium-term,817864,Index,Equity
Moderate,Short-term,755769,Value,Hybrid
Conservative,Long-term,506392,Dividend,Hybrid
Moderate,Medium-term,75896,Index,Hybrid
Moderate,Short-term,775573,Index,Index
Conservative,Short-term,211207,Dividend,Debt
Aggressive,Medium-term,446152,Growth,ELSS
Aggressive,Short-term,639323,Small-Cap,Equity
Conservative,Long-term,503597,Index,Debt
Aggressive,Short-term,285894,Small-Cap,ELSS
Conservative,Medium-term,824419,Dividend,Debt
Moderate,Long-term,782221,Growth,Equity
Moderate,Short-term,899427,Index,Hybrid
Aggressive,Short-term,822597,Small-Cap,Equity
Moderate,Long-term,191613,Index,ELSS
Aggressive,Long-term,558634,Growth,ELSS
Aggressive,Short-term,261731,Small-Cap,Equity
Moderate,Long-term,13514,Growth,Equity
Moderate,Medium-term,559126,Blend,Equity
Aggressive,Short-term,823991,Growth,Equity
Moderate,Medium-term,897655,Blend,Equity
Conservative,Short-term,69207,Dividend,Debt
Moderate,Medium-term,26385,Index,Equity
Moderate,Medium-term,159389,Index,Index
Conservative,Long-term,927897,Dividend,Debt
Moderate,Short-term,34881,Value,Index
Moderate,Long-term,383905,Growth,Equity
Aggressive,Long-term,239905,Growth,ELSS
Moderate,Short-term,522527,Index,Hybrid
Moderate,Medium-term,431171,Growth,Hybrid
Conservative,Short-term,68308,Dividend,Debt
Aggressive,Short-term,382659,Growth,ELSS
Aggressive,Short-term,199086,Growth,Equity
Aggressive,Long-term,521972,Growth,ELSS
Moderate,Short-term,263267,Index,Index
Aggressive,Short-term,730790,Growth,Equity
Conservative,Short-term,868463,Dividend,Debt
Aggressive,Medium-term,377401,Small-Cap,Equity
Conservative,Medium-term,359117,Index,Debt
Aggressive,Medium-term,69596,Growth,ELSS
Aggressive,Medium-term,520576,Growth,Equity
Conservative,Long-term,929217,Index,Hybrid
Aggressive,Long-term,554716,Small-Cap,ELSS
Aggressive,Short-term,72160,Growth,Equity
Aggressive,Long-term,469387,Small-Cap,Equity
Moderate,Medium-term,260894,Index,Equity
Conservative,Short-term,352873,Index,Debt
Aggressive,Short-term,70843,Small-Cap,Equity
Conservative,Medium-term,426219,Value,Debt
Conservative,Medium-term,352313,Value,Debt
Conservative,Medium-term,891196,Value,Debt
Aggressive,Long-term,445293,Growth,Equity
Aggressive,Short-term,823162,Small-Cap,Equity
Conservative,Medium-term,910514,Dividend,Hybrid
Moderate,Short-term,82981,Index,Hybrid
Conservative,Short-term,776079,Index,Debt
Moderate,Long-term,737498,Growth,Index
Conservative,Short-term,337717,Dividend,Debt
Conservative,Medium-term,773488,Dividend,Debt
Conservative,Medium-term,169941,Value,Hybrid
Aggressive,Short-term,243151,Small-Cap,Equity
Moderate,Short-term,565364,Index,Index
Moderate,Long-term,489221,Index,Equity
Conservative,Medium-term,238907,Index,Hybrid
Aggressive,Medium-term,136283,Small-Cap,Equity
Aggressive,Short-term,297238,Small-Cap,Equity
Moderate,Short-term,692177,Value,Hybrid
Aggressive,Short-term,544843,Small-Cap,Equity
Moderate,Medium-term,80656,Index,Hybrid
Moderate,Short-term,924493,Index,Index
Moderate,Long-term,393576,Index,Equity
Aggressive,Long-term,453409,Small-Cap,Equity
Moderate,Short-term,407931,Index,Index
Moderate,Long-term,402838,Index,Equity
Conservative,Long-term,306306,Index,Debt
Moderate,Long-term,111173,Growth,Equity
Moderate,Long-term,370002,Growth,Equity
Conservative,Long-term,111980,Index,Index
Conservative,Medium-term,505241,Dividend,Hybrid
Aggressive,Short-term,923084,Small-Cap,Equity
Moderate,Long-term,572746,Growth,Equity
Aggressive,Short-term,114122,Growth,Equity
Aggressive,Long-term,632826,Small-Cap,ELSS
Conservative,Medium-term,930644,Dividend,Debt
Aggressive,Medium-term,645489,Small-Cap,Equity
Moderate,Long-term,158455,Growth,Index
Conservative,Long-term,683078,Index,Index
Moderate,Long-term,509845,Growth,Equity
Moderate,Medium-term,741520,Index,Hybrid
Conservative,Medium-term,460615,Index,Hybrid
Moderate,Short-term,359152,Value,Index
Conservative,Medium-term,162935,Dividend,Debt
Moderate,Long-term,999130,Index,ELSS
Conservative,Short-term,807809,Dividend,Debt
Aggressive,Medium-term,879463,Growth,Equity
Moderate,Medium-term,532377,Index,Hybrid
Conservative,Long-term,725883,Index,Hybrid
Moderate,Short-term,658691,Index,Index
Moderate,Medium-term,155942,Index,Equity
Moderate,Medium-term,329631,Blend,Hybrid
Conservative,Long-term,684660,Index,Debt
Aggressive,Short-term,459167,Growth,Equity
Aggressive,Short-term,601927,Small-Cap,ELSS
Aggressive,Short-term,887163,Small-Cap,Equity
Conservative,Short-term,659054,Dividend,Debt
Aggressive,Long-term,375573,Growth,ELSS
Conservative,Medium-term,270637,Dividend,Debt
Moderate,Medium-term,999630,Growth,Equity
Moderate,Short-term,446196,Index,Hybrid
Aggressive,Short-term,248976,Small-Cap,Equity
Conservative,Short-term,173122,Dividend,Debt
Moderate,Medium-term,668281,Growth,Equity
Conservative,Medium-term,927336,Dividend,Debt
Conservative,Short-term,342414,Index,Debt
Moderate,Long-term,357437,Index,Index
Conservative,Medium-term,826760,Value,Hybrid
Moderate,Medium-term,988324,Growth,Equity
Moderate,Short-term,295282,Index,Index
Moderate,Long-term,222645,Index,Index
Conservative,Short-term,502356,Dividend,Debt
Moderate,Short-term,939598,Value,Hybrid
Conservative,Long-term,468480,Index,Index
Moderate,Long-term,527681,Index,ELSS
Moderate,Long-term,805460,Index,ELSS
Aggressive,Medium-term,774413,Small-Cap,ELSS
Aggressive,Short-term,680792,Small-Cap,Equity
Aggressive,Medium-term,315963,Growth,Equity
Conservative,Long-term,360771,Dividend,Debt
Conservative,Medium-term,268312,Index,Debt
Moderate,Long-term,222194,Index,Index
Moderate,Long-term,801744,Growth,ELSS
Moderate,Short-term,560261,Index,Index
Moderate,Short-term,636414,Value,Index
Conservative,Short-term,982809,Dividend,Debt
Moderate,Medium-term,170045,Blend,Index
Moderate,Short-term,316534,Index,Hybrid
Aggressive,Long-term,943603,Small-Cap,Equity
Moderate,Short-term,794313,Value,Index
Moderate,Medium-term,322100,Index,Equity
Moderate,Short-term,371523,Index,Hybrid
Conservative,Short-term,286207,Index,Debt
Aggressive,Short-term,366450,Growth,Equity
Moderate,Medium-term,758112,Growth,Equity
Moderate,Long-term,627484,Growth,Equity
Aggressive,Long-term,485135,Small-Cap,ELSS
Moderate,Long-term,543893,Growth,ELSS
Conservative,Short-term,630473,Index,Debt
Moderate,Short-term,112756,Index,Hybrid
Conservative,Medium-term,126351,Dividend,Debt
Conservative,Long-term,763455,Dividend,Debt
Moderate,Short-term,791215,Index,Index
Aggressive,Short-term,775962,Small-Cap,ELSS
Conservative,Short-term,218976,Dividend,Debt
Aggressive,Medium-term,345108,Small-Cap,ELSS
Moderate,Long-term,192277,Growth,Equity
Conservative,Medium-term,419033,Index,Debt
Moderate,Long-term,536708,Growth,Index
Aggressive,Long-term,356592,Small-Cap,ELSS
Moderate,Short-term,473069,Value,Hybrid
Moderate,Short-term,528036,Value,Index
Conservative,Short-term,99897,Dividend,Debt
Moderate,Short-term,562016,Value,Hybrid
Moderate,Short-term,134826,Index,Hybrid
Moderate,Long-term,67858,Growth,ELSS
Conservative,Short-term,525131,Dividend,Debt
Aggressive,Short-term,903148,Small-Cap,Equity
Aggressive,Medium-term,190161,Growth,ELSS
Moderate,Medium-term,761964,Growth,Equity
Conservative,Long-term,795968,Dividend,Debt
Moderate,Long-term,501747,Index,Equity
Aggressive,Medium-term,749617,Growth,Equity
Conservative,Medium-term,956468,Dividend,Debt
Aggressive,Short-term,762425,Small-Cap,Equity
Aggressive,Short-term,349136,Growth,ELSS
Conservative,Long-term,895691,Index,Hybrid
Conservative,Medium-term,388329,Index,Debt
Moderate,Long-term,445456,Growth,Equity
Moderate,Short-term,896714,Value,Hybrid
Aggressive,Long-term,224521,Growth,ELSS
Conservative,Long-term,678035,Index,Debt
Conservative,Long-term,258422,Dividend,Hybrid
Moderate,Short-term,631965,Index,Hybrid
Aggressive,Long-term,495741,Small-Cap,ELSS
Aggressive,Short-term,594337,Small-Cap,ELSS
Moderate,Medium-term,189508,Index,Index
Conservative,Long-term,574501,Index,Debt
Moderate,Long-term,955615,Index,Index
Moderate,Short-term,800716,Index,Hybrid
Moderate,Long-term,494245,Index,ELSS
Moderate,Short-term,289729,Value,Index
Conservative,Long-term,992543,Dividend,Hybrid
Moderate,Medium-term,891563,Blend,Equity
Conservative,Medium-term,279275,Index,Hybrid
Moderate,Medium-term,577670,Index,Equity
Aggressive,Long-term,961031,Small-Cap,ELSS
Conservative,Long-term,228565,Index,Hybrid
Aggressive,Medium-term,172008,Small-Cap,Equity
Moderate,Medium-term,97081,Growth,Hybrid
Moderate,Short-term,63441,Value,Index
Moderate,Short-term,457814,Index,Index
Conservative,Medium-term,613508,Value,Hybrid
Aggressive,Medium-term,773344,Growth,ELSS
Conservative,Long-term,686002,Dividend,Index
Conservative,Medium-term,735267,Value,Debt
Moderate,Short-term,546939,Index,Hybrid
Aggressive,Short-term,667025,Growth,ELSS
Moderate,Short-term,803350,Index,Index
Conservative,Short-term,295151,Index,Debt
Moderate,Short-term,762304,Index,Hybrid
Aggressive,Short-term,216802,Small-Cap,Equity
Moderate,Medium-term,297179,Index,Hybrid
Aggressive,Short-term,885784,Small-Cap,Equity
Aggressive,Short-term,491818,Growth,Equity
Moderate,Short-term,611037,Index,Hybrid
Conservative,Short-term,386193,Index,Debt
Moderate,Medium-term,884580,Index,Equity
Conservative,Long-term,556499,Index,Debt
Conservative,Long-term,982091,Index,Index
Moderate,Long-term,36866,Index,Equity
Conservative,Long-term,247012,Index,Index
Conservative,Short-term,519269,Dividend,Debt
Moderate,Long-term,17344,Index,ELSS
Moderate,Long-term,865169,Growth,ELSS
Moderate,Medium-term,342432,Index,Equity
Conservative,Medium-term,858978,Dividend,Hybrid
Aggressive,Medium-term,117879,Growth,Equity
Conservative,Short-term,806759,Dividend,Debt
Aggressive,Short-term,976163,Small-Cap,Equity
Moderate,Short-term,973301,Value,Index
Aggressive,Medium-term,474843,Small-Cap,ELSS
Moderate,Long-term,561896,Index,Index
Moderate,Medium-term,431501,Index,Index
Aggressive,Short-term,884966,Growth,Equity
Moderate,Medium-term,912641,Growth,Index
Aggressive,Long-term,451850,Small-Cap,ELSS
Moderate,Short-term,705649,Value,Hybrid
Conservative,Long-term,516930,Index,Hybrid
Conservative,Long-term,290151,Dividend,Hybrid
Moderate,Short-term,297401,Value,Hybrid
Moderate,Long-term,619342,Growth,ELSS
Aggressive,Medium-term,39784,Small-Cap,Equity
Conservative,Long-term,703948,Index,Hybrid
Aggressive,Long-term,54221,Small-Cap,Equity
Moderate,Long-term,817810,Index,Equity
Moderate,Medium-term,14696,Index,Hybrid
Aggressive,Long-term,365675,Small-Cap,ELSS
Moderate,Long-term,44635,Index,ELSS
Conservative,Medium-term,660777,Index,Hybrid
Aggressive,Short-term,330687,Small-Cap,ELSS
Conservative,Short-term,746619,Dividend,Debt
Conservative,Short-term,684567,Dividend,Debt
Conservative,Long-term,955028,Dividend,Hybrid
Aggressive,Short-term,956058,Growth,Equity
Moderate,Medium-term,21817,Growth,Equity
Conservative,Long-term,530674,Index,Debt
Conservative,Long-term,327402,Dividend,Hybrid
Conservative,Long-term,203654,Dividend,Index
Moderate,Short-term,665528,Index,Index
Moderate,Short-term,132475,Value,Hybrid
Aggressive,Short-term,970485,Growth,Equity
Moderate,Long-term,233378,Growth,Index
Aggressive,Medium-term,599487,Growth,ELSS
Aggressive,Long-term,861380,Growth,ELSS
Aggressive,Medium-term,67782,Growth,ELSS
Aggressive,Long-term,90759,Growth,Equity
Aggressive,Medium-term,512972,Growth,Equity
Conservative,Long-term,595887,Index,Debt
Moderate,Long-term,522813,Growth,ELSS
Conservative,Medium-term,214635,Value,Hybrid
Aggressive,Medium-term,26291,Small-Cap,ELSS
Moderate,Medium-term,905377,Index,Equity
Conservative,Medium-term,981337,Value,Debt
Conservative,Medium-term,232047,Dividend,Debt
Aggressive,Medium-term,621345,Growth,Equity
Conservative,Medium-term,886683,Index,Debt
Conservative,Medium-term,883586,Dividend,Debt
Conservative,Long-term,104535,Index,Hybrid
Conservative,Medium-term,436208,Dividend,Debt
Conservative,Medium-term,510269,Dividend,Debt
Aggressive,Long-term,442566,Small-Cap,ELSS
Aggressive,Long-term,798005,Small-Cap,ELSS
Conservative,Short-term,794077,Dividend,Debt
Aggressive,Short-term,18577,Small-Cap,Equity
Aggressive,Medium-term,936216,Small-Cap,Equity
Moderate,Medium-term,564236,Blend,Hybrid
Conservative,Short-term,770427,Index,Debt
Aggressive,Short-term,87700,Small-Cap,ELSS
Aggressive,Medium-term,277361,Small-Cap,ELSS
Conservative,Short-term,856610,Dividend,Debt
Moderate,Medium-term,881494,Index,Index
Conservative,Long-term,893238,Dividend,Hybrid
Moderate,Long-term,167481,Index,Equity
Conservative,Short-term,190112,Dividend,Debt
Conservative,Long-term,119657,Dividend,Hybrid
Conservative,Long-term,219002,Index,Debt
Conservative,Long-term,863467,Dividend,Hybrid
Moderate,Long-term,627363,Growth,Index
Moderate,Medium-term,412885,Blend,Equity
Aggressive,Medium-term,723607,Small-Cap,ELSS
Conservative,Short-term,724335,Dividend,Debt
Moderate,Long-term,956066,Growth,ELSS
Moderate,Long-term,524591,Index,ELSS
Moderate,Long-term,555917,Growth,Equity
Conservative,Short-term,887714,Dividend,Debt
Aggressive,Medium-term,202535,Small-Cap,ELSS
Moderate,Long-term,318151,Growth,ELSS
Conservative,Medium-term,421344,Value,Hybrid
Moderate,Short-term,536327,Index,Hybrid
Moderate,Medium-term,640903,Index,Equity
Aggressive,Long-term,13857,Small-Cap,ELSS
Moderate,Medium-term,200091,Blend,Equity
Moderate,Medium-term,625720,Index,Index
Conservative,Short-term,997990,Dividend,Debt
Conservative,Short-term,230079,Dividend,Debt
Aggressive,Short-term,615265,Growth,Equity
Conservative,Short-term,284879,Dividend,Debt
Conservative,Medium-term,699871,Dividend,Debt
Aggressive,Medium-term,580339,Growth,ELSS
Moderate,Short-term,921254,Index,Index
Aggressive,Short-term,586981,Small-Cap,Equity
Conservative,Long-term,642230,Index,Hybrid
Aggressive,Long-term,341296,Small-Cap,ELSS
Moderate,Short-term,353063,Index,Hybrid
Aggressive,Medium-term,301900,Small-Cap,Equity
Conservative,Short-term,669254,Index,Debt
Conservative,Medium-term,912844,Dividend,Debt
Aggressive,Medium-term,376675,Growth,ELSS
Moderate,Long-term,184304,Growth,Equity
Aggressive,Short-term,63214,Growth,Equity
Moderate,Short-term,604105,Value,Hybrid
Moderate,Medium-term,598150,Growth,Equity
Aggressive,Short-term,755543,Growth,Equity
Moderate,Long-term,792409,Index,ELSS
Conservative,Long-term,794256,Index,Index
Aggressive,Short-term,433252,Growth,Equity
Moderate,Short-term,421800,Index,Hybrid
Conservative,Long-term,503663,Dividend,Hybrid
Aggressive,Short-term,697668,Small-Cap,Equity
Conservative,Medium-term,909516,Value,Hybrid
Conservative,Short-term,300477,Index,Debt
Conservative,Medium-term,963453,Dividend,Hybrid
Moderate,Short-term,396505,Value,Index
Aggressive,Short-term,631618,Small-Cap,ELSS
Aggressive,Long-term,49288,Small-Cap,ELSS
Moderate,Medium-term,875020,Index,Equity
Aggressive,Long-term,743167,Small-Cap,ELSS
Conservative,Short-term,650072,Dividend,Debt
Aggressive,Long-term,186339,Small-Cap,Equity
Moderate,Short-term,304319,Index,Hybrid
Conservative,Short-term,543203,Dividend,Debt
Moderate,Short-term,353802,Value,Hybrid
Conservative,Medium-term,381879,Value,Debt
Conservative,Medium-term,868886,Index,Hybrid
Aggressive,Medium-term,987226,Growth,Equity
Conservative,Long-term,509668,Index,Debt
Moderate,Short-term,368117,Index,Index
Aggressive,Long-term,907774,Small-Cap,Equity
Moderate,Long-term,730658,Index,Equity
Conservative,Short-term,548093,Dividend,Debt
Moderate,Long-term,750494,Index,Equity
Moderate,Short-term,443733,Index,Hybrid
Conservative,Short-term,64716,Index,Debt
Aggressive,Short-term,143943,Small-Cap,Equity
Moderate,Short-term,899225,Index,Hybrid
Conservative,Long-term,309519,Index,Index
Aggressive,Long-term,711101,Small-Cap,Equity
Aggressive,Long-term,382559,Growth,ELSS
Aggressive,Medium-term,164220,Growth,ELSS
Moderate,Long-term,540122,Growth,ELSS
Moderate,Long-term,52680,Growth,Index
Moderate,Medium-term,663090,Index,Hybrid
Aggressive,Short-term,537687,Growth,Equity
Moderate,Short-term,467307,Value,Index
Conservative,Short-term,687122,Index,Debt
Moderate,Medium-term,978513,Blend,Equity
Moderate,Long-term,378052,Index,ELSS
Aggressive,Long-term,348637,Growth,ELSS
Moderate,Long-term,902467,Index,ELSS
Conservative,Long-term,454764,Index,Hybrid
Aggressive,Medium-term,693700,Small-Cap,Equity
Conservative,Long-term,988869,Index,Debt
Aggressive,Short-term,398910,Small-Cap,ELSS
Aggressive,Medium-term,364818,Growth,ELSS
Moderate,Medium-term,615632,Blend,Hybrid
Conservative,Short-term,200862,Dividend,Debt
Aggressive,Short-term,365923,Small-Cap,Equity
Moderate,Long-term,995301,Growth,Equity
Aggressive,Short-term,21809,Small-Cap,Equity
Aggressive,Medium-term,532801,Growth,ELSS
Aggressive,Medium-term,683056,Growth,Equity
Aggressive,Medium-term,773720,Small-Cap,Equity
Aggressive,Long-term,140306,Small-Cap,ELSS
Aggressive,Long-term,716817,Growth,ELSS
Moderate,Short-term,949395,Index,Index
Aggressive,Long-term,593439,Small-Cap,ELSS
Conservative,Long-term,94661,Dividend,Debt
Moderate,Medium-term,204080,Index,Hybrid
Conservative,Medium-term,717848,Index,Debt
Aggressive,Short-term,66632,Small-Cap,Equity
Conservative,Medium-term,916279,Dividend,Debt
Aggressive,Long-term,76533,Growth,Equity
Aggressive,Short-term,909891,Growth,Equity
Moderate,Short-term,81889,Index,Hybrid
Moderate,Medium-term,618527,Index,Index
Aggressive,Medium-term,635799,Small-Cap,Equity
Moderate,Medium-term,67942,Blend,Equity
Conservative,Short-term,19275,Index,Debt
Moderate,Medium-term,816397,Blend,Equity
Moderate,Long-term,107955,Growth,Equity
Conservative,Short-term,648466,Index,Debt
Moderate,Medium-term,701214,Index,Equity
Aggressive,Long-term,419189,Small-Cap,Equity
Conservative,Long-term,361230,Index,Hybrid
Aggressive,Medium-term,823310,Small-Cap,ELSS
Conservative,Long-term,397808,Index,Index
Aggressive,Short-term,944609,Growth,Equity
Aggressive,Short-term,647462,Small-Cap,ELSS
Moderate,Long-term,861178,Index,ELSS
Aggressive,Short-term,895890,Growth,ELSS
Moderate,Medium-term,222637,Growth,Equity
Conservative,Long-term,925116,Index,Index
Aggressive,Short-term,312079,Small-Cap,ELSS
Aggressive,Medium-term,42784,Growth,ELSS
Conservative,Medium-term,434817,Index,Debt
Conservative,Short-term,574153,Index,Debt
Aggressive,Long-term,369225,Small-Cap,ELSS
Conservative,Medium-term,527087,Value,Debt
Moderate,Medium-term,350845,Index,Hybrid
Conservative,Medium-term,421832,Dividend,Hybrid
Conservative,Medium-term,808086,Dividend,Hybrid
Aggressive,Long-term,552118,Small-Cap,ELSS
Moderate,Short-term,419421,Index,Hybrid
Conservative,Short-term,576713,Dividend,Debt
Moderate,Short-term,742855,Index,Index
Moderate,Medium-term,490910,Growth,Index
Moderate,Long-term,611643,Index,ELSS
Aggressive,Short-term,439067,Small-Cap,Equity
Conservative,Long-term,642327,Dividend,Hybrid
Aggressive,Short-term,264031,Small-Cap,Equity
Conservative,Medium-term,410168,Value,Debt
Conservative,Short-term,492977,Dividend,Debt
Aggressive,Medium-term,581693,Small-Cap,Equity
Moderate,Medium-term,791527,Blend,Equity
Moderate,Short-term,773127,Index,Index
Conservative,Long-term,265516,Index,Index
Aggressive,Medium-term,277535,Growth,Equity
Moderate,Long-term,483220,Index,Equity
